"wavelength_410,wavelength_435,wavelength_460,wavelength_485,wavelength_510,wavelength_535,wavelength_560,wavelength_585,wavelength_610,wavelength_645,wavelength_680,wavelength_705,wavelength_730,wavelength_760,wavelength_810,wavelength_860,wavelength_900,wavelength_940,label"
"3.637,5.858,9.179,5.281,4.897,2.074,6.852,8.7,7.344,7.646,14.937,7.642,11.136,8.721,11.981,9.924,7.645,8.935,black"
"8.492,12.682,3.64,4.833,6.056,5.422,3.046,3.009,9.252,1.964,6.722,8.957,6.322,2.887,5.414,8.111,4.082,7.613,black"
"189.991,187.517,196.508,174.434,168.505,165.334,156.498,150.864,172.521,191.099,191.948,205.596,196.829,188.088,177.829,165.337,167.593,193.409,white"
"13.74,0.837,7.693,7.851,6.559,9.731,4.839,11.022,13.589,7.778,4.575,10.979,11.731,10.627,4.538,6.248,3.289,6.796,black"
"0.0,2.515,5.017,4.44,51.921,120.778,224.252,254.28,145.011,34.221,0.736,0.0,0.944,0.0,1.14,0.459,0.0,0.0,yellow"
"61.325,128.23,165.737,130.038,66.255,22.844,31.644,70.719,137.667,176.897,155.219,91.45,42.442,13.25,8.367,2.03,0.0,0.0,magenta"
"0.0,1.364,7.008,3.383,0.0,4.533,41.377,98.696,160.844,171.964,82.395,42.541,7.988,0.329,0.0,0.0,3.713,0.0,red"
"30.204,82.855,152.555,218.094,217.263,167.846,92.903,43.375,16.116,0.0,1.139,0.0,0.0,0.0,0.0,8.482,9.492,4.152,cyan"
"0.0,1.621,1.187,4.47,27.879,111.135,193.918,204.799,140.464,31.199,11.893,0.046,3.598,1.93,4.185,0.0,0.0,3.87,yellow"
"11.275,9.418,10.166,6.155,8.28,10.463,8.76,11.081,0.0,3.121,12.02,1.769,5.465,6.639,11.363,8.204,7.631,0.0,black"
"35.882,99.834,194.679,288.783,297.776,211.212,121.46,51.815,16.648,6.764,0.0,0.0,0.0,1.475,4.466,0.477,2.745,0.0,cyan"
"1.78,0.0,0.0,6.258,32.839,114.149,185.531,202.431,134.296,30.941,5.15,0.0,1.833,2.576,0.0,5.839,3.332,2.567,yellow"
"64.493,180.047,260.46,196.122,62.015,15.428,7.296,3.38,5.655,0.0,4.737,6.005,0.169,0.0,0.0,0.634,0.0,6.675,blue"
"55.081,127.07,140.856,116.922,56.448,27.363,24.811,58.254,119.074,168.965,134.542,85.132,32.327,9.409,2.538,1.247,2.404,0.141,magenta"
"0.0,0.0,18.833,84.59,189.564,273.685,231.423,123.555,38.101,1.023,0.0,0.0,0.73,4.911,0.888,3.052,0.962,0.0,green"
"36.043,92.734,168.168,213.5,238.511,174.837,99.516,46.144,16.586,0.0,1.179,4.808,4.814,4.943,0.0,0.0,0.0,0.699,cyan"
"31.43,90.174,168.375,225.531,238.835,171.542,96.003,42.268,7.542,0.308,0.0,0.0,3.604,6.323,0.0,0.0,0.819,0.0,cyan"
"25.76,81.888,154.775,229.12,230.609,173.597,92.831,40.136,10.103,0.0,5.533,1.194,2.278,3.587,0.905,0.272,0.0,0.0,cyan"
"25.155,76.165,148.245,220.59,221.448,159.967,91.336,37.562,16.437,0.0,2.286,7.843,4.767,0.0,0.0,0.0,0.272,0.0,cyan"
"0.0,1.499,4.979,7.04,30.283,111.122,173.76,185.873,117.725,18.831,3.661,5.018,0.223,0.0,0.0,0.0,0.0,4.562,yellow"
"10.825,6.768,6.776,13.615,9.81,9.28,6.848,5.159,11.945,5.85,9.902,5.926,7.191,9.06,7.174,6.285,5.429,6.931,black"
"0.0,0.0,14.4,71.741,178.994,256.894,218.929,111.259,31.254,5.719,0.0,0.0,0.365,0.0,0.958,0.0,0.0,0.165,green"
"3.074,15.445,12.621,5.109,20.57,12.984,0.129,0.0,2.874,6.691,8.358,11.016,8.337,13.271,7.745,4.486,13.463,10.516,black"
"5.267,0.022,0.0,0.591,2.876,12.283,65.433,156.426,253.948,247.366,124.993,51.93,11.339,0.114,8.203,1.186,2.75,2.798,red"
"234.525,233.344,227.71,205.498,203.92,187.945,186.507,194.902,200.622,216.919,226.798,239.277,216.731,228.176,205.12,189.018,192.401,221.701,white"
"8.006,11.64,10.614,5.755,11.542,11.674,7.683,7.634,11.755,3.876,2.846,7.704,3.81,12.198,2.307,11.799,18.034,7.656,black"
"233.43,226.686,235.729,210.859,205.727,198.183,185.025,192.654,204.25,230.299,237.681,248.858,237.422,244.404,202.566,191.798,187.107,221.263,white"
"0.0,0.0,0.266,9.254,35.828,110.826,187.392,197.645,119.621,29.612,2.345,0.0,0.0,0.0,0.0,1.218,1.095,0.0,yellow"
"6.756,2.004,15.768,64.027,152.187,213.747,178.534,88.751,31.486,0.0,1.622,5.333,0.0,0.0,0.0,1.065,2.942,0.0,green"
"34.573,78.717,150.484,222.152,221.593,171.475,92.915,44.444,5.744,5.146,8.014,0.0,0.0,0.0,0.864,0.0,4.696,0.0,cyan"
"2.854,1.215,0.0,7.198,8.687,15.615,57.887,153.303,263.44,281.374,132.282,49.842,14.496,7.271,0.0,0.537,0.952,1.064,red"
"60.98,136.693,170.921,128.832,60.756,22.493,29.774,67.967,127.852,202.88,168.171,89.535,45.936,6.174,0.0,0.0,0.0,5.338,magenta"
"37.773,87.296,172.371,243.089,232.812,185.311,98.016,41.235,16.481,0.0,0.0,0.0,0.0,0.0,0.964,0.0,0.0,2.408,cyan"
"34.48,87.762,174.268,228.635,230.268,192.724,105.294,45.876,8.47,4.258,3.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cyan"
"46.838,98.488,111.459,100.343,44.674,14.992,12.59,42.011,91.659,129.573,113.743,61.644,27.865,9.458,2.009,3.901,0.0,0.0,magenta"
"58.433,126.105,159.413,123.902,54.531,20.94,24.213,73.259,132.655,202.356,147.971,83.173,34.612,13.079,2.081,0.0,3.411,0.0,magenta"
"10.294,0.0,10.857,7.505,10.984,2.437,8.462,11.427,10.272,7.372,5.935,0.695,7.309,11.179,7.024,10.567,7.922,3.623,black"
"61.896,168.685,231.16,160.943,58.312,9.915,0.557,4.785,0.0,0.0,0.528,0.0,2.849,0.0,0.985,0.0,3.619,0.44,blue"
"186.67,170.126,166.417,150.696,148.565,138.431,141.918,137.458,142.038,158.578,173.427,177.466,174.234,162.709,146.442,143.544,144.478,152.195,white"
"0.0,1.67,0.0,0.0,5.774,13.773,73.605,161.81,284.4,287.004,146.328,55.58,12.82,0.0,0.0,4.895,3.794,4.148,red"
"65.124,140.863,189.939,145.647,70.153,29.006,31.352,80.945,154.111,216.343,183.455,92.207,42.721,13.092,0.0,0.0,0.0,2.54,magenta"
"67.675,191.811,285.213,204.923,75.181,14.796,0.0,0.0,3.9,1.245,0.968,0.0,0.0,3.803,0.0,3.189,0.915,0.0,blue"
"52.987,127.236,150.774,120.934,54.385,26.089,26.834,63.341,126.126,178.9,142.204,87.05,40.636,9.118,6.731,1.27,0.18,1.049,magenta"
"0.0,0.0,1.452,0.0,5.183,8.539,59.17,143.931,217.673,232.655,113.205,39.751,12.86,0.0,0.0,4.661,0.0,1.88,red"
"38.292,92.605,163.818,239.508,259.524,193.315,101.215,43.26,8.626,1.695,0.0,0.0,2.263,0.0,0.0,0.995,0.0,0.0,cyan"
"0.0,0.081,0.0,0.0,7.641,26.654,72.618,196.713,305.695,353.843,164.075,67.713,16.191,0.74,0.0,0.919,0.0,0.0,red"
"259.932,266.5,265.483,219.175,219.641,221.024,200.451,225.143,215.288,241.764,260.481,259.259,280.024,248.606,217.329,190.683,217.558,246.846,white"
"30.306,93.902,174.722,245.641,259.985,211.144,108.639,36.653,17.98,0.0,3.037,2.323,1.212,0.0,1.542,9.739,0.0,5.166,cyan"
"183.677,172.304,161.583,161.016,155.449,147.765,150.03,137.722,153.218,181.736,182.28,189.209,179.834,164.207,157.746,151.76,147.606,162.399,white"
"205.758,198.593,209.638,191.742,186.889,169.758,180.703,163.089,183.646,199.435,214.696,217.593,215.643,209.622,191.637,165.511,188.18,202.242,white"
"50.278,154.226,224.282,145.765,53.069,6.82,0.0,4.822,0.0,0.0,5.214,0.0,2.059,5.505,2.789,8.186,0.0,0.0,blue"
"11.203,7.52,2.064,7.066,2.647,3.151,1.223,5.649,7.686,7.158,5.296,6.605,8.416,2.77,6.367,12.212,7.462,4.129,black"
"59.052,171.772,245.919,168.371,57.537,7.225,8.33,4.941,0.861,0.0,1.568,0.0,3.163,0.0,0.0,1.885,0.0,0.0,blue"
"222.641,234.242,228.056,210.295,212.99,193.344,198.907,195.215,217.631,237.225,254.927,236.225,247.022,240.824,205.463,201.219,195.061,226.793,white"
"0.0,8.778,26.596,95.702,224.58,307.545,256.226,135.168,47.596,4.52,0.0,0.0,0.0,0.0,0.0,5.739,1.072,0.0,green"
"242.913,244.129,218.755,208.607,202.499,196.509,193.692,200.134,219.479,226.373,247.861,251.222,243.732,237.793,213.034,189.077,198.72,210.19,white"
"271.316,256.157,255.706,246.877,221.019,214.54,220.216,229.007,215.849,259.968,267.753,284.917,274.513,259.929,231.105,221.055,224.747,246.104,white"
"60.12,119.904,164.397,140.06,64.193,25.204,27.572,64.031,136.013,184.643,159.573,86.005,36.057,9.928,0.0,1.516,1.87,0.0,magenta"
"0.0,2.133,0.588,2.361,3.487,13.849,38.047,109.124,190.353,204.052,99.41,37.063,11.431,0.0,2.584,2.197,1.747,0.0,red"
"0.0,1.793,21.102,88.781,183.213,279.581,252.79,137.235,47.936,6.903,1.36,1.32,2.415,2.279,0.0,0.929,2.096,0.0,green"
"5.374,2.975,0.0,0.0,0.0,10.158,42.416,103.499,172.824,178.488,103.819,39.49,16.177,7.408,0.0,0.415,0.0,0.556,red"
"3.05,0.0,0.0,11.966,49.673,156.201,269.587,290.163,184.064,40.526,4.474,2.02,0.0,3.517,0.0,0.0,1.364,3.309,yellow"
"58.527,173.497,247.392,184.016,63.57,16.271,0.594,2.468,3.441,0.0,5.671,0.0,3.579,0.0,0.792,0.0,2.501,0.903,blue"
"0.0,9.396,2.598,5.238,41.081,117.318,191.165,206.668,131.294,27.682,0.0,3.427,5.016,3.777,0.0,0.0,0.0,0.0,yellow"
"0.861,10.651,7.797,4.213,7.427,6.024,6.207,19.608,5.444,7.801,5.162,5.991,3.532,11.27,3.61,10.359,10.003,8.114,black"
"2.908,0.441,0.0,0.0,10.217,11.255,49.458,126.124,185.465,208.267,102.083,40.369,9.773,0.0,4.843,2.86,0.682,3.018,red"
"38.861,96.764,129.941,91.12,47.573,19.858,24.548,58.619,102.873,158.048,117.62,75.756,25.888,10.029,0.0,2.056,2.47,0.0,magenta"
"3.688,0.0,12.546,11.68,14.088,8.219,7.394,3.551,4.794,5.882,0.3,7.377,7.009,14.872,8.542,15.323,18.333,5.646,black"
"0.017,5.157,19.507,67.567,151.854,219.17,185.67,96.865,31.4,4.486,0.0,0.631,9.529,0.228,3.939,0.0,6.19,2.341,green"
"0.0,0.0,1.429,11.793,29.386,107.225,194.415,199.721,119.308,28.486,2.332,0.0,0.0,0.0,1.122,8.189,3.51,0.0,yellow"
"58.482,111.889,151.548,121.74,57.846,33.923,26.838,58.055,125.977,172.477,137.577,82.194,37.043,13.563,0.0,0.684,0.0,0.0,magenta"
"80.117,192.25,267.927,200.322,71.201,18.23,0.0,0.0,11.762,0.0,1.357,1.287,3.286,0.44,0.0,0.599,1.955,0.0,blue"
"71.38,194.76,279.302,199.376,68.063,13.91,3.176,5.591,0.0,0.0,0.0,0.0,2.022,0.0,0.0,0.0,4.017,7.166,blue"
"41.21,84.927,172.111,238.221,247.664,192.39,103.935,44.827,4.846,0.0,0.0,2.315,6.07,2.422,0.0,0.005,0.199,0.0,cyan"
"204.862,191.053,188.895,170.282,160.549,162.244,162.844,160.279,171.419,186.916,193.706,184.713,197.412,186.89,164.75,154.285,160.84,176.457,white"
"27.377,83.314,159.982,220.242,233.343,186.648,97.115,44.534,15.318,0.501,0.0,3.108,0.364,0.0,2.52,0.0,0.0,0.0,cyan"
"1.962,0.0,0.0,0.0,1.734,15.376,48.435,121.331,197.689,215.182,100.833,36.924,10.09,3.158,5.034,0.0,0.0,0.0,red"
"247.595,226.603,225.238,222.687,199.55,196.883,199.123,191.299,204.97,233.963,252.456,243.395,237.742,227.994,219.947,174.063,192.917,220.683,white"
"0.0,2.934,0.545,1.905,8.414,14.767,58.195,135.02,215.015,242.187,112.662,48.248,6.711,4.371,0.0,1.416,0.0,1.791,red"
"4.046,12.073,0.0,8.501,7.443,1.703,0.0,2.951,3.678,3.665,4.924,10.321,2.655,4.244,4.815,8.06,0.152,5.116,black"
"3.536,3.982,5.496,5.584,52.815,145.038,254.705,252.302,163.086,32.646,3.227,0.0,0.0,0.0,5.338,0.0,0.0,0.0,yellow"
"74.306,221.535,310.344,205.342,78.453,12.81,4.634,1.312,1.657,1.632,0.0,0.0,0.0,5.143,10.713,0.0,0.952,0.0,blue"
"0.0,4.449,0.0,0.0,5.063,13.246,46.2,115.228,187.424,195.454,94.351,38.657,16.606,6.25,2.65,2.698,0.634,0.0,red"
"12.876,6.955,10.334,4.373,9.301,3.368,1.048,6.016,11.588,12.54,11.35,2.712,3.893,13.788,6.13,8.677,11.917,11.797,black"
"0.0,5.631,18.498,99.514,194.0,313.821,256.378,135.451,38.104,3.605,0.0,0.0,0.0,3.682,0.0,4.341,0.0,0.0,green"
"3.76,4.293,19.327,74.012,187.782,271.228,241.159,116.602,38.583,1.254,3.416,5.498,0.0,1.976,1.561,0.0,0.0,6.547,green"
"59.504,163.692,233.076,167.804,63.597,9.59,2.288,0.54,0.0,6.097,3.135,0.0,2.702,0.0,2.298,2.149,0.0,0.235,blue"
"0.72,1.784,3.76,5.224,49.929,137.109,247.533,256.467,157.037,37.038,0.0,0.58,1.255,5.156,0.0,0.0,2.478,0.021,yellow"
"8.986,9.03,6.995,5.608,11.788,1.854,1.743,4.46,8.863,9.404,9.563,7.931,8.09,7.79,9.056,5.815,5.375,5.894,black"
"243.353,236.538,220.2,194.984,195.882,191.239,180.254,198.651,204.086,211.095,234.749,255.577,248.143,237.137,197.984,194.249,196.452,208.807,white"
"225.24,228.614,212.086,208.968,180.442,177.609,178.606,188.359,199.426,224.811,230.38,234.219,233.282,215.625,196.508,188.002,193.431,205.764,white"
"1.539,5.183,0.0,12.062,42.39,118.488,232.33,236.006,154.244,32.509,8.328,0.0,3.175,0.0,0.0,0.0,3.098,4.717,yellow"
"8.791,3.107,0.0,0.0,0.749,19.968,63.155,129.15,213.946,225.597,115.292,43.217,11.477,0.0,5.122,0.0,7.267,4.426,red"
"0.803,1.596,12.705,62.707,139.298,200.982,167.277,88.297,26.394,0.628,0.0,3.665,5.485,3.21,0.0,4.198,0.136,0.138,green"
"22.133,68.054,127.307,186.588,196.36,143.963,84.638,24.579,6.815,0.121,0.0,1.645,0.0,4.752,0.0,5.68,3.046,0.0,cyan"
"0.831,3.488,0.389,11.157,43.388,127.493,238.184,251.607,158.206,39.578,8.86,8.67,0.0,0.0,0.0,0.0,0.0,2.236,yellow"
"226.447,212.687,214.399,194.577,174.196,189.122,188.292,181.757,197.811,199.187,231.618,229.098,226.625,209.354,192.583,200.655,175.241,194.496,white"
"38.465,99.983,124.765,97.988,42.275,16.729,23.167,46.779,101.836,142.139,125.426,64.056,30.6,3.379,3.859,1.396,0.515,0.0,magenta"
"70.368,189.061,271.392,194.803,71.656,14.999,3.198,3.294,6.194,5.613,5.566,3.293,0.0,0.0,0.0,0.0,0.059,0.0,blue"
"1.568,4.823,0.0,4.854,7.567,16.364,51.79,147.609,229.339,253.955,125.353,51.582,10.595,3.761,0.0,0.0,5.508,5.038,red"
"0.0,0.382,26.478,88.218,194.887,272.016,255.511,132.808,41.23,0.288,0.0,0.0,0.0,0.0,0.83,0.0,4.206,0.0,green"
"0.0,0.0,2.162,8.078,38.788,104.38,201.59,218.446,132.979,28.076,1.048,0.434,4.917,4.331,0.0,0.0,1.306,2.593,yellow"
"31.522,88.236,165.513,225.825,219.61,176.622,97.624,43.167,14.662,3.264,0.0,0.0,0.0,0.0,2.256,0.0,0.0,1.818,cyan"
"58.25,167.115,247.52,158.636,68.49,10.249,7.122,0.0,6.561,6.056,3.714,0.632,0.0,0.0,0.0,0.0,0.0,4.045,blue"
"41.391,146.357,201.324,138.236,47.767,12.612,0.0,0.293,0.0,1.329,0.0,5.459,0.0,1.477,0.742,0.0,0.0,5.156,blue"
"61.611,139.485,180.2,123.527,64.338,25.031,20.509,71.94,132.479,198.352,161.032,96.568,42.935,8.522,7.975,1.169,3.678,0.0,magenta"
"43.13,110.234,248.735,341.925,333.168,253.012,136.598,55.299,16.697,1.385,2.104,2.976,0.0,1.331,0.0,0.0,1.46,0.0,cyan"
"0.0,0.0,9.533,14.243,54.265,155.474,268.921,289.028,173.376,42.708,0.0,0.0,0.0,0.796,2.239,0.0,0.385,4.696,yellow"
"297.279,277.522,283.868,240.746,229.419,221.2,228.458,224.915,249.843,260.662,293.232,277.987,306.563,263.086,239.987,237.02,239.528,254.916,white"
"3.979,0.0,21.871,88.098,202.85,304.595,239.912,133.628,42.914,4.403,6.098,0.0,0.0,0.0,0.0,1.06,0.164,6.228,green"
"222.02,211.146,218.291,199.544,189.448,182.005,179.212,195.281,197.382,211.733,222.626,237.407,245.742,221.988,194.291,182.058,198.836,208.275,white"
"273.31,262.582,241.882,226.727,223.509,205.974,207.49,223.721,237.354,252.399,279.325,285.412,278.136,263.423,235.995,222.271,226.725,255.495,white"
"1.657,0.0,0.0,6.139,50.54,149.742,268.687,248.4,171.245,43.896,1.16,3.905,3.94,0.0,0.0,5.247,0.0,0.0,yellow"
"8.963,4.894,7.505,8.039,11.859,4.74,6.168,7.206,4.521,9.495,8.309,14.393,1.778,9.143,5.215,10.643,10.534,11.722,black"
"27.097,66.414,124.103,174.426,185.772,133.96,65.494,30.332,10.697,2.682,6.968,0.091,0.0,2.816,6.489,2.972,2.925,0.0,cyan"
"59.442,123.545,139.247,113.241,56.693,22.499,22.722,58.092,112.665,176.471,136.989,89.397,33.156,7.654,3.164,0.0,0.0,0.0,magenta"
"0.0,0.0,27.743,84.342,204.715,292.164,236.424,120.015,42.655,2.544,3.227,0.0,0.0,0.0,3.897,0.0,0.0,0.0,green"
"53.052,148.926,208.973,140.742,55.26,8.56,2.318,0.0,1.678,2.564,1.304,5.068,6.207,0.0,3.359,0.0,0.0,0.0,blue"
"6.323,6.193,0.0,3.462,0.0,7.963,4.138,6.012,6.672,0.092,2.82,9.416,6.64,5.193,18.043,4.337,9.313,6.921,black"
"30.225,92.968,170.407,237.511,242.101,193.473,102.856,34.764,19.765,2.233,0.0,4.495,8.295,0.0,3.242,2.531,9.299,8.898,cyan"
"2.083,0.0,2.249,4.944,5.983,12.803,48.379,110.921,182.658,196.414,91.526,37.724,7.548,0.313,1.531,0.0,0.0,0.0,red"
"30.728,97.063,170.334,236.51,261.772,199.524,100.605,49.602,18.77,0.0,0.0,0.0,0.0,0.961,0.0,0.0,0.0,3.659,cyan"
